dataOrigin,minPKey,maxPKey,nMS2,total
/home/chong/Downloads/CCLE/output/Protein_16/d00965_Prot_16_04.mzML,15796643,15881784,37360,7400369
/home/chong/Downloads/CCLE/output/Protein_16/d00966_Prot_16_05.mzML,15881789,15970947,39313,7439682
/home/chong/Downloads/CCLE/output/Protein_16/d00967_Prot_16_06.mzML,15970952,16057024,37843,7477525
/home/chong/Downloads/CCLE/output/Protein_16/d00968_Prot_16_07.mzML,16057028,16141034,37068,7514593
/home/chong/Downloads/CCLE/output/Protein_16/d00969_Prot_16_08.mzML,16141038,16236003,42745,7557338
/home/chong/Downloads/CCLE/output/Protein_16/d00970_Prot_16_09.mzML,16236007,16322549,37981,7595319
/home/chong/Downloads/CCLE/output/Protein_16/d00971_Prot_16_10.mzML,16322553,16411499,39403,7634722
/home/chong/Downloads/CCLE/output/Protein_16/d00972_Prot_16_11.mzML,16411504,16499594,38357,7673079
/home/chong/Downloads/CCLE/output/Protein_16/d00973_Prot_16_12.mzML,16499598,16591354,40389,7713468
/home/chong/Downloads/CCLE/output/Protein_16/d00974_Prot_16_01.mzML,16591358,16687959,42750,7756218
/home/chong/Downloads/CCLE/output/Protein_17/d00977_Prot_17_01.mzML,16687964,16784593,42619,7798837
/home/chong/Downloads/CCLE/output/Protein_17/d00978_Prot_17_02.mzML,16784598,16872360,38489,7837326
/home/chong/Downloads/CCLE/output/Protein_17/d00979_Prot_17_03.mzML,16872364,16961736,39386,7876712
/home/chong/Downloads/CCLE/output/Protein_17/d00980_Prot_17_04.mzML,16961740,17047771,37785,7914497
/home/chong/Downloads/CCLE/output/Protein_17/d00981_Prot_17_05.mzML,17047776,17139685,40813,7955310
/home/chong/Downloads/CCLE/output/Protein_17/d00982_Prot_17_06.mzML,17139689,17230218,39732,7995042
/home/chong/Downloads/CCLE/output/Protein_17/d00983_Prot_17_07.mzML,17230223,17320718,40070,8035112
/home/chong/Downloads/CCLE/output/Protein_17/d00984_Prot_17_08.mzML,17320723,17420769,44921,8080033
/home/chong/Downloads/CCLE/output/Protein_17/d00985_Prot_17_09.mzML,17420774,17509583,38895,8118928
/home/chong/Downloads/CCLE/output/Protein_17/d00986_Prot_17_10.mzML,17509588,17600550,40551,8159479
/home/chong/Downloads/CCLE/output/Protein_17/d00987_Prot_17_11.mzML,17600555,17688263,38499,8197978
/home/chong/Downloads/CCLE/output/Protein_17/d00988_Prot_17_12.mzML,17688267,17779188,40370,8238348
/home/chong/Downloads/CCLE/output/Protein_18/d00992_Prot_18_01.mzML,17779193,17871495,41007,8279355
/home/chong/Downloads/CCLE/output/Protein_18/d00993_Prot_18_02.mzML,17871501,17953359,35986,8315341
/home/chong/Downloads/CCLE/output/Protein_18/d00994_Prot_18_03.mzML,17953363,18039821,38124,8353465
/home/chong/Downloads/CCLE/output/Protein_18/d00995_Prot_18_04.mzML,18039825,18123605,36654,8390119
/home/chong/Downloads/CCLE/output/Protein_18/d00996_Prot_18_05.mzML,18123610,18207763,36858,8426977
/home/chong/Downloads/CCLE/output/Protein_18/d00997_Prot_18_06.mzML,18207769,18290654,36467,8463444
/home/chong/Downloads/CCLE/output/Protein_18/d00998_Prot_18_07.mzML,18290659,18375726,37167,8500611
/home/chong/Downloads/CCLE/output/Protein_18/d00999_Prot_18_08.mzML,18375730,18464268,40088,8540699
/home/chong/Downloads/CCLE/output/Protein_18/d01000_Prot_18_09.mzML,18464273,18548068,37003,8577702
/home/chong/Downloads/CCLE/output/Protein_18/d01001_Prot_18_10.mzML,18548072,18636748,39884,8617586
/home/chong/Downloads/CCLE/output/Protein_18/d01002_Prot_18_11.mzML,18636752,18717654,35032,8652618
/home/chong/Downloads/CCLE/output/Protein_18/d01003_Prot_18_12.mzML,18717658,18805514,38912,8691530
/home/chong/Downloads/CCLE/output/Protein_19/d01007_Prot_19_01.mzML,18805519,18890798,37891,8729421
/home/chong/Downloads/CCLE/output/Protein_19/d01008_Prot_19_02.mzML,18890802,18972608,35847,8765268
/home/chong/Downloads/CCLE/output/Protein_19/d01009_Prot_19_03.mzML,18972612,19055540,36594,8801862
/home/chong/Downloads/CCLE/output/Protein_19/d01010_Prot_19_04.mzML,19055545,19139339,36642,8838504
/home/chong/Downloads/CCLE/output/Protein_19/d01011_Prot_19_05.mzML,19139344,19222322,36569,8875073
/home/chong/Downloads/CCLE/output/Protein_19/d01012_Prot_19_06.mzML,19222327,19302341,35471,8910544
/home/chong/Downloads/CCLE/output/Protein_19/d01013_Prot_19_07.mzML,19302346,19381511,34780,8945324
/home/chong/Downloads/CCLE/output/Protein_19/d01014_Prot_19_08.mzML,19381516,19469606,40017,8985341
/home/chong/Downloads/CCLE/output/Protein_19/d01015_Prot_19_09.mzML,19469611,19549717,35417,9020758
/home/chong/Downloads/CCLE/output/Protein_19/d01016_Prot_19_10.mzML,19549721,19635116,38536,9059294
/home/chong/Downloads/CCLE/output/Protein_19/d01017_Prot_19_11.mzML,19635122,19714700,35044,9094338
/home/chong/Downloads/CCLE/output/Protein_19/d01018_Prot_19_12.mzML,19714705,19798547,37410,9131748
/home/chong/Downloads/CCLE/output/Protein_20/d01023_Prot_20_01.mzML,19798555,19893182,41149,9172897
/home/chong/Downloads/CCLE/output/Protein_20/d01024_Prot_20_02.mzML,19893188,19987370,40776,9213673
/home/chong/Downloads/CCLE/output/Protein_20/d01025_Prot_20_03.mzML,19987374,20082338,41244,9254917
/home/chong/Downloads/CCLE/output/Protein_20/d01026_Prot_20_04.mzML,20082342,20178976,42449,9297366
/home/chong/Downloads/CCLE/output/Protein_20/d01027_Prot_20_05.mzML,20178980,20273287,40495,9337861
/home/chong/Downloads/CCLE/output/Protein_20/d01028_Prot_20_06.mzML,20273291,20367586,41060,9378921
/home/chong/Downloads/CCLE/output/Protein_20/d01029_Prot_20_07.mzML,20367590,20461798,41260,9420181
/home/chong/Downloads/CCLE/output/Protein_20/d01030_Prot_20_08.mzML,20461802,20563343,45752,9465933
/home/chong/Downloads/CCLE/output/Protein_20/d01031_Prot_20_09.mzML,20563348,20658442,41606,9507539
/home/chong/Downloads/CCLE/output/Protein_20/d01032_Prot_20_10.mzML,20658447,20756027,43122,9550661
/home/chong/Downloads/CCLE/output/Protein_20/d01033_Prot_20_11.mzML,20756031,20846304,39075,9589736
/home/chong/Downloads/CCLE/output/Protein_20/d01034_Prot_20_12.mzML,20846308,20944598,42984,9632720
/home/chong/Downloads/CCLE/output/Protein_21/d01039_Prot_21_01.mzML,20944602,21043006,43282,9676002
/home/chong/Downloads/CCLE/output/Protein_21/d01040_Prot_21_02.mzML,21043011,21136036,40410,9716412
/home/chong/Downloads/CCLE/output/Protein_21/d01041_Prot_21_03.mzML,21136041,21231953,42033,9758445
/home/chong/Downloads/CCLE/output/Protein_21/d01042_Prot_21_04.mzML,21231957,21325296,40347,9798792
/home/chong/Downloads/CCLE/output/Protein_21/d01043_Prot_21_05.mzML,21325300,21421603,41694,9840486
/home/chong/Downloads/CCLE/output/Protein_21/d01044_Prot_21_06.mzML,21421607,21517268,41959,9882445
/home/chong/Downloads/CCLE/output/Protein_21/d01045_Prot_21_07.mzML,21517273,21607233,38940,9921385
/home/chong/Downloads/CCLE/output/Protein_21/d01046_Prot_21_08.mzML,21607238,21708082,45843,9967228
/home/chong/Downloads/CCLE/output/Protein_21/d01047_Prot_21_09.mzML,21708086,21801715,41041,10008269
/home/chong/Downloads/CCLE/output/Protein_21/d01048_Prot_21_10.mzML,21801720,21896541,42083,10050352
